GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Alphabet Inc,3,Jp Morgan Chase And Co,Ericsson Inc,2.3
Alphabet Inc,3,Jp Morgan Chase And Co,Sony Corp,1.4
Goldman Sachs Group Inc,3,Bank Of America Corp,Fitbit Inc,2.9
Alphabet Inc,3,Atandt Inc,Tbs International Plc,1.0
Alphabet Inc,3,Atandt Inc,Cbs Corp,100.0
Morgan Stanley International Holdings Inc,3,Federal Home Loan Mortgage Corp,Allstate Corp,0.7
Microsoft Corp,3,Hsbc Holdings Plc,Facebook Inc,7.8
Goldman Sachs Group Inc,3,Bank Of America Corp,Commerzbank Ag,1.4
Microsoft Corp,3,Symantec Corp,Citigroup Inc,6.7
Coca-Cola Company,3,Bank Of America Corp,Merck And Co Inc,1.7
Microsoft Corp,3,American Airlines Group Inc,Apple Inc,1.5
Goldman Sachs Group Inc,3,Wells Fargo And Company,Amex Global Holdings Cv,7.2
Goldman Sachs Group Inc,3,Wells Fargo And Company,Applied Materials Inc /De,4.5
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Nii Holdings Inc,0.5
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,General Electric Company,0.9
Microsoft Corp,2,Oracle Corp,Vanguard Group,5.5
Microsoft Corp,2,Cisco Systems Inc,Dell Inc,5.2
Microsoft Corp,2,Atandt Inc,Sprint Corp,3.0
Morgan Stanley International Holdings Inc,2,Mbia Inc,Bank Of America Corp,1.1
Pepsico Inc,2,Jp Morgan Chase And Co,Federal Home Loan Mortgage Corp,2.1
Coca-Cola Company,2,Jefferies Financial Group Inc,Federal National Mortgage Association,1.5
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Citigroup Inc,16.0
Microsoft Corp,2,International Business Machines Corp,Hcl Technologies Limited,1.0
Microsoft Corp,2,International Business Machines Corp,Red Hat Inc,35.9
Pepsico Inc,2,Wells Fargo And Company,Gilead Sciences Inc,0.7
Microsoft Corp,2,International Business Machines Corp,Sap Se,1.3
Coca-Cola Company,2,Intercontinental Exchange,Formfactor Inc,0.6
Coca-Cola Company,2,Intercontinental Exchange,Prudential Financial Inc,0.8
Jp Morgan Chase And Co,3,Bank Of America Corp,First Republic Bank,0.5
Microsoft Corp,3,Wells Fargo And Company,Thomson Reuters Corp,1.2
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Hersha Hospitality Trust,0.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Tesla Inc,60.5
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Pimco Dynamic Credit Income Fun,2.9
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Coastal Financial Corp,0.5
Coca-Cola Company,3,Citigroup Inc,Mastercard Inc,2.2
Pepsico Inc,3,Mastercard Inc,Apple Inc,24.5
Alphabet Inc,3,Goldman Sachs Group Inc,Berkshire Hathaway Inc,7.3
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Genworth Financial Inc,0.9
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Ltc Properties Inc,0.5
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Axa Sa,0.7
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Legg Mason Inc,0.8
Coca-Cola Company,3,Bank Of America Corp,Aleris International Inc,1.7
Microsoft Corp,3,Jp Morgan Chase And Co,Public Storage,1.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Wells Fargo And Company,4.7
Microsoft Corp,3,Dell Inc,Jp Morgan Chase And Co,1.7
Microsoft Corp,3,Bank Of America Corp,Pimco Dynamic Credit Income Fun,2.0
Pepsico Inc,3,Jp Morgan Chase And Co,Zimmer Biomet Holdings,2.6
Microsoft Corp,3,Goldman Sachs Group Inc,Metro Inc,2.1
Microsoft Corp,3,Goldman Sachs Group Inc,Intercontinental Exchange,2.3
Microsoft Corp,3,Bank Of America Corp,Oci Partners Lp,1.6
Jp Morgan Chase And Co,3,Intercontinental Exchange,Goldman Sachs Group Inc,1.2
Goldman Sachs Group Inc,3,Wells Fargo And Company,Regions Financial Corp,2.2
