GRAPH,STARTING_NODE,ENDING_NODE,NODE_DISTANCE,CUM_INTENSITY
bp_plc,boeing_company,airbus,3,0.000822844177
bp_plc,tesla_inc,bloomberg_inc,3,0.000820719192
bp_plc,tesla_inc,general_motors_limited,3,0.000817764986
bp_plc,tesla_inc,united_states_air_force,3,0.000812902821
bp_plc,boeing_company,general_electric_canada_holdings,3,0.000808871549
royal_dutch_shell,royal_dutch_shell,european_investment_bank,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,anglo_american_plc,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,federal_reserve_system,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,mhbc_investments_limited_partnership_i_lllp,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,ms_srl,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,cnooc_ltd,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,coca-cola_european_partners_plc,1,0.054054054054
royal_dutch_shell,design_works,vr_srl,2,0.050615411631
royal_dutch_shell,royal_dutch_shell,philip_morris_international_inc,1,0.048648648649
royal_dutch_shell,royal_dutch_shell,mercali_sociedad_anonima,1,0.048648648649
royal_dutch_shell,royal_dutch_shell,jp_morgan_chase_and_co,1,0.048648648649
royal_dutch_shell,royal_dutch_shell,wsp_gmbh,1,0.048648648649
royal_dutch_shell,royal_dutch_shell,novo_nordisk_inc,1,0.048648648649
royal_dutch_shell,royal_dutch_shell,total_marketing_services_sa,1,0.048648648649
royal_dutch_shell,royal_dutch_shell,rolls-royce_corporation,1,0.046846843243
royal_dutch_shell,royal_dutch_shell,shell_oil_company,1,0.043243243243
royal_dutch_shell,royal_dutch_shell,indian_oil_corp_ltd,1,0.043243243243
royal_dutch_shell,royal_dutch_shell,kosmos_energy_ltd,1,0.043243243243
royal_dutch_shell,royal_dutch_shell,deloitte_sl,1,0.043243243243
royal_dutch_shell,royal_dutch_shell,ibstock_brick_limited,1,0.043243243243
royal_dutch_shell,royal_dutch_shell,british_american_tobacco_plc,1,0.043243243243
royal_dutch_shell,design_works,european_commission,2,0.038160310340
bp_plc,tesla_inc,united_inc,3,0.000807929080
bp_plc,house_srl,united_states_senate,3,0.000804521384
royal_dutch_shell,royal_dutch_shell,shell,1,1.000000000000
royal_dutch_shell,royal_dutch_shell,design_works,1,0.897297297297
royal_dutch_shell,design_works,linkedin_corp,2,0.352894536680
royal_dutch_shell,royal_dutch_shell,world_economic_forum_llc,1,0.291891891892
royal_dutch_shell,design_works,hubspot_inc,2,0.283552305997
royal_dutch_shell,royal_dutch_shell,chevron_corp,1,0.264864864865
royal_dutch_shell,royal_dutch_shell,exxon_mobil_corp,1,0.212612616216
royal_dutch_shell,royal_dutch_shell,rio_tinto_plc,1,0.210810810811
royal_dutch_shell,royal_dutch_shell,bp_plc,1,0.205405405405
royal_dutch_shell,royal_dutch_shell,unilever_plc,1,0.169369372973
royal_dutch_shell,royal_dutch_shell,ovo_energy_ltd,1,0.151351351351
royal_dutch_shell,royal_dutch_shell,coal_india_ltd,1,0.147747751351
royal_dutch_shell,royal_dutch_shell,bloomberg_inc,1,0.145945945946
royal_dutch_shell,royal_dutch_shell,google,1,0.145945945946
royal_dutch_shell,royal_dutch_shell,tesla_inc,1,0.145945945946
royal_dutch_shell,royal_dutch_shell,bnp_paribas,1,0.140540540541
royal_dutch_shell,royal_dutch_shell,international_airlines_group,1,0.129729729730
royal_dutch_shell,royal_dutch_shell,petroleum_development_oman_llc,1,0.129729729730
royal_dutch_shell,royal_dutch_shell,london_school_of_economics_and_political_science,1,0.129729729730
royal_dutch_shell,royal_dutch_shell,national_farmers_union,1,0.124324324324
royal_dutch_shell,royal_dutch_shell,british_airways_plc,1,0.118918918919
royal_dutch_shell,shell,boeing_company,2,0.116509155346
royal_dutch_shell,royal_dutch_shell,microsoft_corp,1,0.108108108108
royal_dutch_shell,royal_dutch_shell,petróleos_mexicanos,1,0.108108108108
royal_dutch_shell,royal_dutch_shell,direct_line_group_limited,1,0.102702702703
royal_dutch_shell,royal_dutch_shell,direct_line_insurance_group_plc,1,0.102702702703
royal_dutch_shell,royal_dutch_shell,bg_group_plc,1,0.097297297297
royal_dutch_shell,royal_dutch_shell,national_grid_north_america_inc,1,0.097297297297
royal_dutch_shell,royal_dutch_shell,national_grid_usa,1,0.097297297297
royal_dutch_shell,royal_dutch_shell,national_grid_transco_plc,1,0.097297297297
royal_dutch_shell,royal_dutch_shell,barclays_plc,1,0.091891891892
royal_dutch_shell,design_works,dnt,2,0.088113216584
royal_dutch_shell,royal_dutch_shell,centrica_plc_ord_new,1,0.086486486486
royal_dutch_shell,royal_dutch_shell,international_energy_corporation,1,0.082882886486
royal_dutch_shell,royal_dutch_shell,heathrow_airport_limited,1,0.081081081081
royal_dutch_shell,royal_dutch_shell,lloyds_banking_group_plc,1,0.081081081081
royal_dutch_shell,royal_dutch_shell,general_motors_limited,1,0.081081081081
royal_dutch_shell,royal_dutch_shell,boeing_company,1,0.075675675676
royal_dutch_shell,royal_dutch_shell,oxford_city_council,1,0.075675675676
royal_dutch_shell,royal_dutch_shell,cp_lotus_corp,1,0.075675675676
royal_dutch_shell,royal_dutch_shell,am_best_company_inc,1,0.075675675676
royal_dutch_shell,royal_dutch_shell,crescent_point_energy_corp,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,morgan_stanley_and_co_llc,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,united_states_department_of_agriculture,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,third_point_llc,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,morgan_stanley_investments_(uk),1,0.064864864865
royal_dutch_shell,royal_dutch_shell,morgan_stanley_domestic_holdings_inc,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,morgan_stanley_international_holdings_inc,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,the_boston_consulting_group_inc,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,hsbc_holdings_plc,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,bt_pension_scheme,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,gsl,1,0.064864864865
royal_dutch_shell,royal_dutch_shell,rolls_royce_grp,1,0.061261264865
royal_dutch_shell,shell,royal_dutch_shell,2,0.058830478441
royal_dutch_shell,royal_dutch_shell,intercontinental_hotels_group_plc,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,natural_gas_systems_inc,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,uber_technologies_inc,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,murphy_oil_corp,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,cheniere_energy_inc,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,mtn_group_ltd,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,axa_sa,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,delta_air_lines_inc,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,kalpataru_power_transmission_ltd,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,bank_of_england_[ar],1,0.054054054054
royal_dutch_shell,royal_dutch_shell,titan_group_limited,1,0.054054054054
royal_dutch_shell,royal_dutch_shell,deutsche_telekom_ag,1,0.054054054054
bp_plc,bp_plc,cng_energy_co,1,0.197368419754
bp_plc,bp_plc,department_for_business_energy_and_industrial_strategy,1,0.197368419754
bp_plc,bp_plc,metropolitan_transportation_authority,1,0.197368419754
bp_plc,bp_plc,us_securities_and_exchange_commission,1,0.197368419754
bp_plc,bp_plc,motion_industries_inc,1,0.197368419754
bp_plc,bp_plc,genuine_parts_company,1,0.197368419754
bp_plc,bp_plc,airbus,1,0.187499998766
bp_plc,bp_plc,deutsche_bank_spa,1,0.184210518525
bp_plc,bp_plc,apac_srl,1,0.184210518525
bp_plc,bp_plc,morgan_stanley_international_holdings_inc,1,0.177631577779
bp_plc,bp_plc,petróleos_mexicanos,1,0.177631577779
bp_plc,bp_plc,sempra_energy,1,0.172697367285
bp_plc,bp_plc,american_petroleum_institute,1,0.171052637033
bp_plc,bp_plc,mhi_compressor_international_corp,1,0.167763156791
bp_plc,bp_plc,neste_oyj,1,0.167763156791
bp_plc,bp_plc,bcck_holding_co,1,0.167763156791
bp_plc,bp_plc,lummus_technology_llc,1,0.167763156791
bp_plc,bp_plc,daimler_truck_ag,1,0.167763156791
bp_plc,bp_plc,federal_bureau_of_investigation,1,0.164473676550
bp_plc,bp_plc,daimler_ag,1,0.164473676550
bp_plc,bp_plc,british_broadcasting_corporation,1,0.162828946297
bp_plc,bp_plc,schneider_electric_se,1,0.157894735803
bp_plc,bp_plc,mckinsey_and_co,1,0.157894735803
bp_plc,bp_plc,technip,1,0.157894735803
bp_plc,bp_plc,regis_university,1,0.157894735803
bp_plc,bp_plc,the_boston_consulting_group_inc,1,0.157894735803
bp_plc,bp_plc,harley_davidson_inc,1,0.157894735803
bp_plc,bp_plc,scottish_power_limited,1,0.157894735803
bp_plc,bp_plc,ovo_energy_ltd,1,0.157894735803
royal_dutch_shell,huawei_technologies_company_ltd,huawei_investment_and_holding_co_ltd,3,0.003190786038
royal_dutch_shell,tesla_inc,ford_motor_company,3,0.002831520445
royal_dutch_shell,huawei_technologies_company_ltd,huawei_investment_and_holding_co_ltd,3,0.002762453739
royal_dutch_shell,linkedin_corp,wells_fargo_clearing_services_llc,3,0.002542043485
royal_dutch_shell,boeing_company,united_states_department_of_transportation,3,0.002359147917
royal_dutch_shell,tesla_inc,general_motors_limited,3,0.002355043903
royal_dutch_shell,linkedin_corp,dnt,3,0.002325039773
royal_dutch_shell,linkedin_corp,nxp_usa_inc,3,0.002232038182
royal_dutch_shell,linkedin_corp,boeing_company,3,0.002149370121
royal_dutch_shell,linkedin_corp,goldman_sachs_group_inc,3,0.002046035000
royal_dutch_shell,linkedin_corp,denso_corporation,3,0.001984033939
royal_dutch_shell,tesla_inc,boeing_company,3,0.001972436112
royal_dutch_shell,huawei_technologies_company_ltd,huawei_investment_and_holding_co_ltd,3,0.001917380230
royal_dutch_shell,boeing_company,united_inc,3,0.001903694197
