GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Pra Group Inc,Corporate,768
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Deutsche Bank,Legal,19890
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Pra Group Inc,,204
Jp Morgan Chase And Co,2,Brightsphere Investment Group Inc,Bank Of China Ltd Ad,Legal,432
Goldman Sachs Group Inc,3,Sherwin-Williams Company,Platform Specialty Products Corp,Corporate,136
Goldman Sachs Group Inc,2,Citigroup Inc,Special Opportunities Fund Inc,,4672
Goldman Sachs Group Inc,2,Peerstream Inc,Financial Federal Corp,,6
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,General Dynamics Corp,,459
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Federal National Mortgage Association,,3456
Goldman Sachs Group Inc,3,Corelogic,Fidelity National Financial,,12
Goldman Sachs Group Inc,3,Centene Corp,Lithia Motors Inc,,1044
Goldman Sachs Group Inc,3,Canadian Pacific Railway Ltd/Cn,Canadian Imperial Bank Of Commerce,Corporate,3456
Jp Morgan Chase And Co,2,Mastercard Inc,Ipsco Inc,,189
Coca-Cola Company,1,Coca-Cola Company,Monster Beverage Corp,Transaction,2100
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Venator Materials Plc,,384
Microsoft Corp,3,Bank Of New York Mellon Corp,Tsr Inc,,143
Goldman Sachs Group Inc,3,Matador Resources Co,Iberiabank Corp,,15
Jp Morgan Chase And Co,2,Maiden Holdings Ltd,Emergent Biosolutions,,72
Goldman Sachs Group Inc,2,Navistar International Corp,Track Data Corp,,36
Jp Morgan Chase And Co,3,Pnc Financial Services Group Inc,Bbandt Corp,,221
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Duke Realty Corp,,1020
Goldman Sachs Group Inc,3,Winnebago Industries Inc,Corbion Nv,,18
Alphabet Inc,2,Oracle Corp,Bnp Paribas,,6048
Pepsico Inc,3,Coca-Cola Company,Tyson Foods Inc,,196
Pepsico Inc,3,Bioscrip Inc,Harte Hanks Inc,,33
Pepsico Inc,2,Apollo Global Management Llc,Fusion-Io Inc,,60
Pepsico Inc,2,Apollo Global Management Llc,Caesars Entertainment Corp,,1440
Pepsico Inc,3,General Dynamics Corp,Carscom Inc,,36
Coca-Cola Company,2,Post Holdings Inc,Barclays Plc,,5950
Coca-Cola Company,1,Coca-Cola Company,Intercontinental Exchange,,1468.8
Coca-Cola Company,3,Sunpower Corp,Aes Corp,,56
Coca-Cola Company,1,Coca-Cola Company,Nrg Energy,Corporate,1320
Coca-Cola Company,1,Coca-Cola Company,General Mills Inc,,108
