GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Alphabet Inc,2,Bank Of New York Mellon Corp,Associated Capital Group Inc,,26
Alphabet Inc,1,Alphabet Inc,Baidu Inc,,182
Alphabet Inc,3,Federal National Mortgage Association,Credit Suisse Group,,1872
Coca-Cola Company,3,Wells Fargo And Company,Mastercard Inc,,3474
Alphabet Inc,1,Alphabet Inc,Google,HumanResources,42
Coca-Cola Company,3,Overseas Shipholding Group Inc,Sterling Bancorp Inc,,126
Microsoft Corp,3,Nvidia Corp,Baidu Inc,,143
Alphabet Inc,3,Cardinal Health Inc,Ppg Industries Inc,,49
Alphabet Inc,2,Altaba Inc,Surmodics Inc,,75
Alphabet Inc,3,Formfactor Inc,Bruker Corp,,9
Alphabet Inc,2,Southern Company,Pnc Financial Services Group Inc,,748
Alphabet Inc,2,Altaba Inc,Cognizant Technology Solutions Corp,,225
Alphabet Inc,3,Change Healthcare Holdings Inc,Eastman Chemical Company,,42
Microsoft Corp,3,Nvidia Corp,Life Storage,,66
Microsoft Corp,1,Microsoft Corp,Glaxosmithkline Plc,Political,180
Microsoft Corp,1,Microsoft Corp,Oci Partners Lp,,60
Microsoft Corp,3,Middlesex Water Co,First Mortgage Bonds,,6
Microsoft Corp,2,Cisco Systems Inc,Belden Inc,,192
Microsoft Corp,2,Facebook Inc,Sonoma Pharmaceuticals Inc,,108
Microsoft Corp,1,Microsoft Corp,Hewlett Packard Enterprise Comp,,270
Microsoft Corp,3,Aon Plc,Hertz Global Holdings Inc,,426
Microsoft Corp,2,Symantec Corp,Digital River Inc /De,,24
Microsoft Corp,1,Microsoft Corp,Gap Inc,,120
Microsoft Corp,3,Cisco Systems Inc,Wipro Ltd,,252
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Pimco Dynamic Credit Income Fun,,5508
Microsoft Corp,3,American Airlines Group Inc,Japan Airlines,,1600
Alphabet Inc,3,Paypal Holdings,Jp Morgan Chase And Co,,19278
Microsoft Corp,2,Dell Inc,Capstead Mortgage Corp,,55
Microsoft Corp,2,Hp Inc,Oracle Corp,,68172
Alphabet Inc,3,Salesforce Com Inc,Univar Usa Inc,,64
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Reata Pharmaceuticals Inc,Corporate,288
Jp Morgan Chase And Co,3,Estee Lauder Companies Inc,Coty Inc,,42
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Fair Isaac Corp,,663
Jp Morgan Chase And Co,3,Lions Gate Entertainment Corp /Cn/,Curtiss-Wright Corp,,72
Alphabet Inc,2,Network 1 Technologies Inc,Microsemi Corp,,24
Alphabet Inc,1,Alphabet Inc,Gilead Sciences Inc,,616
Goldman Sachs Group Inc,3,Chase Corp,Rogers Communications Inc,,24
Goldman Sachs Group Inc,2,Maiden Holdings Ltd,European Equity Fund,,1350
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Adeptus Health Inc,,176
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Cbs Corp,,1428
Jp Morgan Chase And Co,2,Msa Safety Inc,Fastenal Co,,72
Jp Morgan Chase And Co,3,Nasdaq Inc,London Stock Exchange Group Plc,,1566
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Mci Inc,,216
Goldman Sachs Group Inc,2,Natera Inc,Myriad Genetics Inc,,60
Goldman Sachs Group Inc,2,Bright Health Inc,London Stock Exchange Group Plc,,10170
Goldman Sachs Group Inc,3,Perrigo Company Public Limited Company,Dollar General Corp,,48
Goldman Sachs Group Inc,3,Spartan Motors Inc,Standard Motor Products Inc,,18
Goldman Sachs Group Inc,2,Nn Inc,Regions Financial Corp,,416
Goldman Sachs Group Inc,3,Corelogic,Mgic Investment Corp,,10
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Peerstream Inc,Corporate,112
Jp Morgan Chase And Co,3,Corcept Therapeutics Inc,Sun Pharmaceutical Industries Inc,Legal,90
Goldman Sachs Group Inc,2,Vroom Inc,Chase Corp,,24
Pepsico Inc,3,Arch Capital Group Ltd,Watford Holdings Ltd,Communication,336
Microsoft Corp,2,Intercontinental Exchange,Thomson Reuters Corp,,144
Alphabet Inc,1,Alphabet Inc,Yandex Nv,,84
Alphabet Inc,3,Formfactor Inc,Startek Inc,,6
Alphabet Inc,3,United Technologies Corp,Lockheed Martin Corp,,363
Alphabet Inc,1,Alphabet Inc,Netflix Inc,,154
Alphabet Inc,3,Crown Castle International Corp,Hrg Group Inc,,70
Alphabet Inc,2,Sandp Global Inc,Cme Group Inc,Transaction,3080
Alphabet Inc,1,Alphabet Inc,The Walt Disney Co,,336
Coca-Cola Company,2,Flowers Foods Inc,Oxford Bank Corp,,9
Coca-Cola Company,2,Jp Morgan Chase And Co,Federal Home Loan Mortgage Corp,,72436
Alphabet Inc,2,Abbvie Inc,Neurocrine Biosciences Inc,,420
Alphabet Inc,1,Alphabet Inc,Transalta Corp,Transaction,11760
Microsoft Corp,1,Microsoft Corp,Salesforce Com Inc,,840
Microsoft Corp,3,Hsbc Holdings Plc,Standard Bank Group Ltd,,288
Microsoft Corp,3,Alliance Data Systems Corp,Regions Financial Corp,,312
Microsoft Corp,3,Sprint Corp,Virgin Mobile Usa Inc,,132
Goldman Sachs Group Inc,2,Goodrich Petroleum Corp,Cms Energy Corp,,44
Jp Morgan Chase And Co,3,Msci Inc,Evolent Health Inc,,45
Jp Morgan Chase And Co,3,Morningstar Inc,Euronext Nv,,140
Goldman Sachs Group Inc,2,Huntsman Corp,Icon Plc,,72
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Alnylam Pharmaceuticals Inc,Corporate,640
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Sunedison Inc,,1728
Alphabet Inc,3,Avaya Inc,Gartner Inc,,125
Microsoft Corp,1,Microsoft Corp,Bank Of New York Mellon Corp,,2925
Microsoft Corp,2,Hp Inc,Intel Corp,,2720
Microsoft Corp,1,Microsoft Corp,Federal National Mortgage Association,,540
Microsoft Corp,3,Tsr Inc,Barnwell Industries Inc,,2
Microsoft Corp,3,Enterprise Products Partners L P,Alon Usa Energy Inc,,10
Microsoft Corp,3,Ilg Inc,Rci Hospitality Holdings Inc,,104
Microsoft Corp,2,Apache Corp,Special Opportunities Fund Inc,,80
Jp Morgan Chase And Co,3,Perkinelmer Inc,Honeywell International Inc,,348
Jp Morgan Chase And Co,3,Canadian Pacific Railway Ltd/Cn,Air Products And Chemicals Inc /De/,Communication,672
Jp Morgan Chase And Co,2,Sandp Global Inc,Verisk Analytics Inc,,216
Jp Morgan Chase And Co,2,Cbs Corp,Bp Plc,,224
Alphabet Inc,3,Avaya Inc,Apple Inc,,8840
Alphabet Inc,1,Alphabet Inc,Oci Partners Lp,,14
Alphabet Inc,3,Caterpillar Inc,Rps Group Plc,,246
Goldman Sachs Group Inc,2,Wandt Offshore Inc,Noble Energy Inc,,64
Jp Morgan Chase And Co,2,Chase Corp,Rpm International Inc/De/,,24
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Snap Inc,,512
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Bank Of America Corp,,1824
Goldman Sachs Group Inc,3,Agios Pharmaceuticals Inc,Genentech Inc,,10
Goldman Sachs Group Inc,2,Cbs Corp,Allied Capital Corp,,56
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Huntsman Corp,Corporate,448
Goldman Sachs Group Inc,3,Canadian Pacific Railway Ltd/Cn,Genesee And Wyoming Inc,,24
Goldman Sachs Group Inc,2,Intercontinental Exchange,Coinbase Global Inc,Corporate,816
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Berkshire Hathaway Inc,,11832
Goldman Sachs Group Inc,2,Alnylam Pharmaceuticals Inc,Dna Brands Inc,,48
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Agco Corp,Corporate,19648
Jp Morgan Chase And Co,2,General Dynamics Corp,Hlth Corp,,9
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Coastal Financial Corp,Communication,19584
Jp Morgan Chase And Co,3,Pepsico Inc,Arc Group Inc,,26
Jp Morgan Chase And Co,3,Mgic Investment Corp,Federal National Mortgage Association,,9828
Jp Morgan Chase And Co,2,Oasis Petroleum Inc,Cross Country Healthcare Inc,,250
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Altice,Corporate,2986.666667
Jp Morgan Chase And Co,3,Emergent Biosolutions,United Therapeutics Corp,,16
Jp Morgan Chase And Co,3,Cbs Corp,Allied Capital Corp,,28
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Starbucks Corp,,1326
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Marcus Corp,,1408
Goldman Sachs Group Inc,2,Uber Technologies Inc,Lyft Inc,,3510
Goldman Sachs Group Inc,3,Tesla Inc,Jp Morgan Chase And Co,,15300
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Level Brands Inc,,128
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Uber Technologies Inc,,8960
Goldman Sachs Group Inc,2,Berkshire Hathaway Inc,Kraft Heinz Co,,9936
Goldman Sachs Group Inc,3,Equitable Holdings Llc,Julius Baer Group,,42
Jp Morgan Chase And Co,3,Comcast Corp A,Dreamworks Animation Llc,Corporate,660
Goldman Sachs Group Inc,2,Altice,Frontier Communications Corp,,3024
Goldman Sachs Group Inc,2,Bright Health Inc,Centene Corp,,36
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Sunedison Inc,Corporate,768
Goldman Sachs Group Inc,2,Franklin Financial Network Inc,Civitas Bankgroup Inc,,4
Pepsico Inc,3,Allstate Corp,Onemain Holdings Inc,,46
Alphabet Inc,2,Sandp Global Inc,Quanta Services Inc,,450
Coca-Cola Company,3,Overseas Shipholding Group Inc,Impinj Inc,,15
Alphabet Inc,3,Cardinal Health Inc,Icu Medical Inc/De,,42
Goldman Sachs Group Inc,2,Bank Of America Corp,Advance Auto Parts Inc,,2280
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Sandp Global Inc,,7200
Goldman Sachs Group Inc,2,Uber Technologies Inc,Tesla Inc,,1400
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Lucid Inc,,32
Goldman Sachs Group Inc,3,Dish Network Corp,Dte Energy Co,,11220
Jp Morgan Chase And Co,3,Equifax Inc,Earthlink Holdings Llc,,6
Jp Morgan Chase And Co,3,Qep Resources,Ultra Petroleum Corp,,6
Jp Morgan Chase And Co,3,Cbs Corp,Netflix Inc,,1276
Goldman Sachs Group Inc,2,Nn Inc,Kaman Corp,,48
Jp Morgan Chase And Co,2,Bank Of America Corp,Ust Inc,,114
Coca-Cola Company,3,Mondelez International Inc,Kennametal Inc,,80
Coca-Cola Company,3,Nci Inc,Northrop Grumman Corp,,9
Coca-Cola Company,1,Coca-Cola Company,Applied Biosystems Inc,,216
Coca-Cola Company,3,Broadcom Ltd,Finisar Corp,,27
Coca-Cola Company,1,Coca-Cola Company,Bank Of America Corp,Corporate,1026
Coca-Cola Company,3,Sunpower Corp,Archer Daniels Midland Co,,216
Coca-Cola Company,3,Exxon Mobil Corp,White Mountains Insurance Group,,72
Coca-Cola Company,1,Coca-Cola Company,Coca Cola Femsa Sab De Cv,,252
Coca-Cola Company,1,Coca-Cola Company,Beyond Meat Inc,,96
Coca-Cola Company,2,Flowers Foods Inc,Lancaster Colony Corp,,99
Coca-Cola Company,1,Coca-Cola Company,Innovate Biopharmaceuticals Inc,,60
Pepsico Inc,3,Physicians Realty Trust,News Corp,,52
Pepsico Inc,1,Pepsico Inc,Jp Morgan Chase And Co,Corporate,3978
Pepsico Inc,2,Merck And Co Inc,Astellas Pharma Inc,,384
Pepsico Inc,1,Pepsico Inc,Hsbc Holdings Plc,Corporate,468
Pepsico Inc,1,Pepsico Inc,Dover Corp,,78
Pepsico Inc,3,First Solar Inc,Apple Inc,,9295
Pepsico Inc,1,Pepsico Inc,Spark Ltd,,117
Pepsico Inc,2,General Motors Limited,Public Storage,,990
Pepsico Inc,3,Ford Motor Company,Focus Financial Partners Inc,,144
Coca-Cola Company,3,Xl Group Ltd,Markel Corp,,108
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Bank Of America Corp,,8721
Microsoft Corp,3,Red Hat Inc,Netapp Inc,,135
Microsoft Corp,1,Microsoft Corp,Eclipse Resources Corp,,150
Pepsico Inc,1,Pepsico Inc,Tesco Plc,,520
Goldman Sachs Group Inc,2,Federal National Mortgage Association,Philip Morris International Inc,,2916
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Deutsche Bank,,17901
Jp Morgan Chase And Co,3,Intercontinental Exchange,Bnp Paribas,,168
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Tencent Music Entertainment Group,,256
Goldman Sachs Group Inc,3,Navistar International Corp,Citigroup Inc,,504
Goldman Sachs Group Inc,2,Barnes Group Inc,General Electric Company,,12360
Goldman Sachs Group Inc,2,Alnylam Pharmaceuticals Inc,Astrazeneca Plc,,312
Jp Morgan Chase And Co,2,Smtc Corp,Jabil Inc,,30
Goldman Sachs Group Inc,2,Altice,Dish Network Corp,,2664
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Tenet Healthcare Corp,,1080
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,First Republic Bank,,9690
Pepsico Inc,3,Caesars Entertainment Corp,Kerzner International Ltd,,2
Pepsico Inc,2,Bank Of New York Mellon Corp,Magellan Health Inc,,1365
Pepsico Inc,1,Pepsico Inc,Citigroup Inc,Corporate,2730
Pepsico Inc,1,Pepsico Inc,Bank Of America Corp,,3705
Pepsico Inc,2,Collier Creek Holdings,Intercontinental Exchange,,58632
Pepsico Inc,3,Career Education Corp,Qwest Corp,,160
Pepsico Inc,2,Boston Beer Co Inc,Craft Brew Alliance,Corporate,288
Pepsico Inc,2,Visa Inc,Intl Star Inc,,44
Pepsico Inc,3,Mbia Inc,Credit Suisse Group,,4264
Pepsico Inc,3,Trimas Corp,Titan International Inc,,9
Pepsico Inc,1,Pepsico Inc,Twitter Inc,,260
Pepsico Inc,1,Pepsico Inc,Campbell Soup Company,,109.2
Pepsico Inc,3,Digital Realty Trust,Brixmor Property Group Inc,,864
Pepsico Inc,2,General Motors Limited,Ecolab Inc,,176
Pepsico Inc,1,Pepsico Inc,Metlife Inc,,195
Pepsico Inc,1,Pepsico Inc,Hertz Global Holdings Inc,,312
Pepsico Inc,3,Alon Usa Energy Inc,Valero Energy Corp/Tx,,2898
Pepsico Inc,1,Pepsico Inc,Merck And Co Inc,,312
Coca-Cola Company,3,Sunpower Corp,Cypress Semiconductor Corp /De/,,280
Coca-Cola Company,1,Coca-Cola Company,Kraft Heinz Co,,216
Coca-Cola Company,1,Coca-Cola Company,Citigroup Inc,Corporate,504
Coca-Cola Company,1,Coca-Cola Company,Twitter Inc,,300
Coca-Cola Company,1,Coca-Cola Company,Darling Ingredients Inc,,48
Coca-Cola Company,2,Lamb Weston Holdings Inc,Sunedison Inc,,80
Pepsico Inc,1,Pepsico Inc,Merck Kgaa,,156
Pepsico Inc,3,Exela Technologies Inc,Evertec Inc,,20
Coca-Cola Company,3,Seacor Holdings Inc /New/,Verint Systems Inc,,15
Coca-Cola Company,1,Coca-Cola Company,Campbell Soup Company,,84
Coca-Cola Company,3,Twitter Inc,Linkedin Corp,,42
Coca-Cola Company,1,Coca-Cola Company,Kirin Holdings Co Ltd,,60
Coca-Cola Company,1,Coca-Cola Company,Unilever Nv Ord,,180
Coca-Cola Company,3,Norfolk Southern Corp,Penn National Gaming Inc,,168
Pepsico Inc,1,Pepsico Inc,Pioneer Food Group Ltd,,65
Coca-Cola Company,1,Coca-Cola Company,Coca-Cola European Partners Plc,SupplyChain,864
Coca-Cola Company,1,Coca-Cola Company,Coca-Cola European Partners Plc,Corporate,810
Coca-Cola Company,2,Santander Holdings Usa Inc,Canadian Pacific Railway Ltd/Cn,,918
Coca-Cola Company,3,Plains All American Pipeline Lp,California Resources Corp,,12
Coca-Cola Company,1,Coca-Cola Company,Post Holdings Inc,,60
Coca-Cola Company,1,Coca-Cola Company,Coca-Cola Bottlers Japan Holdings Inc,,160
Coca-Cola Company,3,Broadcom Ltd,Crowdstrike Holdings Inc,,36
Coca-Cola Company,2,Adobe Inc,Comscore Inc,,20
Coca-Cola Company,2,Molson Coors Brewing Co,Macatawa Bank Corp,,1968
Pepsico Inc,3,Collier Creek Holdings,Pinnacle Foods Inc,Corporate,158
Pepsico Inc,1,Pepsico Inc,Starbucks Corp,,1081.6
Pepsico Inc,1,Pepsico Inc,Mondelez International Inc,,130
Pepsico Inc,2,Ltc Properties Inc,Trimas Corp,,180
Coca-Cola Company,1,Coca-Cola Company,Barclays Plc,Corporate,168
Coca-Cola Company,1,Coca-Cola Company,Monster Beverage Corp,,308
Coca-Cola Company,1,Coca-Cola Company,Coca Cola Femsa Sab De Cv,Corporate,2604
Coca-Cola Company,1,Coca-Cola Company,Facebook Inc,,360
Coca-Cola Company,1,Coca-Cola Company,Fomento Economico Mexicano Sab De Cv,Corporate,8928
Coca-Cola Company,1,Coca-Cola Company,City Office Reit Inc,,36
Pepsico Inc,3,Apple Inc,Skyworks Solutions,,78
Pepsico Inc,1,Pepsico Inc,Coca-Cola Company,,546
Pepsico Inc,1,Pepsico Inc,Dr Pepper Snapple Group Inc,,227.5
Pepsico Inc,1,Pepsico Inc,Bnp Paribas,Corporate,546
Pepsico Inc,3,Prudential Financial Inc,Vanguard Group,,52632
Pepsico Inc,1,Pepsico Inc,Walmart Inc,Transaction,1287
Pepsico Inc,3,Trimas Corp,Metaldyne Performance Group Inc,,3
Coca-Cola Company,2,Equifax Inc,Automatic Data Processing Inc,,144
Coca-Cola Company,2,Citigroup Inc,Home Depot Inc,,924
Pepsico Inc,1,Pepsico Inc,Ltc Properties Inc,Communication,65
Pepsico Inc,2,Coca-Cola Company,Hain Celestial Group Inc,,192
Coca-Cola Company,2,Jefferies Financial Group Inc,Lam Research Corp,,288
Microsoft Corp,1,Microsoft Corp,Alaska Air Group,,75
Microsoft Corp,3,Pegasystems Inc,Cognizant Technology Solutions Corp,,45
Microsoft Corp,2,Red Hat Inc,Nokia Corp,,1216
Microsoft Corp,1,Microsoft Corp,Bmc Software Inc,,15
Alphabet Inc,3,Dcp Midstream Lp,Prgx Global Inc,,21
Alphabet Inc,1,Alphabet Inc,Alibaba Group Holding Ltd,,154
Alphabet Inc,3,Cme Group Inc,Nyse Euronext,,36
Alphabet Inc,3,Dell Inc,Royal Dutch Shell,,319
Alphabet Inc,3,Apollo Global Management Llc,Ciner Resources Lp,,20
Alphabet Inc,2,Oci Partners Lp,Intercontinental Exchange,,18048
Alphabet Inc,2,Gilead Sciences Inc,Mid America Apartment Communities Inc,,132
Alphabet Inc,2,Altaba Inc,Hortonworks,,1125
Alphabet Inc,3,Skyworks Solutions,Lawson Software Inc,,12
Alphabet Inc,2,Twitter Inc,Shopify Inc,,350
Coca-Cola Company,3,Plains All American Pipeline Lp,Energy World Corp Ltd,,6
Coca-Cola Company,1,Coca-Cola Company,Whitbread Plc [United Kingdom],Transaction,504
Microsoft Corp,2,Bank Of America Corp,Countrywide Plc,,1710
Microsoft Corp,1,Microsoft Corp,Mcafee Inc,,60
Coca-Cola Company,2,Monster Beverage Corp,Coca-Cola European Partners Plc,,2646
Alphabet Inc,2,Network 1 Technologies Inc,Avaya Inc,,36
Alphabet Inc,1,Alphabet Inc,Illumina Inc,,84
Alphabet Inc,2,Ebay Inc,Mercadolibre Inc,Transaction,2880
Alphabet Inc,2,Southern Company,Benchmark Electronics Inc,,176
Alphabet Inc,2,Apple Inc,American Apparel Inc,,260
Alphabet Inc,1,Alphabet Inc,Network 1 Technologies Inc,,252
Microsoft Corp,3,Enterprise Products Partners L P,Marubeni Corp,,40
Microsoft Corp,1,Microsoft Corp,Oracle Corp,,1440
Microsoft Corp,1,Microsoft Corp,Activision Blizzard,Corporate,1890
Microsoft Corp,3,Pegasystems Inc,Appian Corp,,25
Microsoft Corp,2,Dell Inc,Simulations Plus Inc,,66
Microsoft Corp,2,Adobe Inc,Pegasystems Inc,,150
Microsoft Corp,2,Hp Inc,John Hancock Preferred,,121
Microsoft Corp,3,Spirit Aerosystems Holdings,Spx Corp,,16
Microsoft Corp,1,Microsoft Corp,Sandp Global Inc,,2025
Microsoft Corp,2,Alaska Air Group,American Airlines Group Inc,,1780
Microsoft Corp,3,Hsbc Holdings Plc,Huntington Ingalls Industries,,285
Microsoft Corp,2,Hp Inc,Canon Inc,,2376
Alphabet Inc,3,Supervalu Inc,Shopify Inc,Transaction,56
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Sumitomo Mitsui Financial Group Inc,,2232
Jp Morgan Chase And Co,2,Starbucks Corp,Kimberly-Clark Corp,,117
Jp Morgan Chase And Co,2,Oci Partners Lp,Exxon Mobil Corp,,36
Jp Morgan Chase And Co,2,Coastal Financial Corp,Fiserv Inc,,56
Goldman Sachs Group Inc,2,Wandt Offshore Inc,Qep Resources,,24
Coca-Cola Company,1,Coca-Cola Company,Coca-Cola Amatil Ltd,Corporate,2016
Alphabet Inc,2,Southern Company,Duke Energy Corp,Corporate,2431
Alphabet Inc,3,Clean Energy Fuels Corp,Starbucks Corp,,442
Microsoft Corp,2,Amex Global Holdings Cv,Standard Chartered Plc,,5040
Microsoft Corp,3,Comscore Inc,Adobe Inc,,20
Microsoft Corp,3,Eclipse Resources Corp,Talos Petroleum Llc,,10
Jp Morgan Chase And Co,2,Agilent Technologies Inc,Credit Suisse Group,,7046
Jp Morgan Chase And Co,3,Fifth Third Bancorp,Credit Suisse Group,,572
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Msci Inc,,1715
Alphabet Inc,3,Entergy Corp,Berkshire Hathaway Inc,,160
Alphabet Inc,3,Glu Mobile Inc,Global Equity International Inc,,10
Alphabet Inc,2,Verizon Communications Inc,Reckitt Benckiser,,520
Goldman Sachs Group Inc,3,Marriott International Inc /Md/,Marriott Vacations Worldwide Corp,,32
Goldman Sachs Group Inc,3,Advance Auto Parts Inc,O Reilly Automotive Inc,,35
Jp Morgan Chase And Co,3,Maiden Holdings Ltd,Partnerre Ltd,,144
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Agilent Technologies Inc,,357
Goldman Sachs Group Inc,3,Sherwin-Williams Company,Sika Ag,,72
Goldman Sachs Group Inc,2,Discovery Comm Inc,Lions Gate Entertainment Corp /Cn/,,150
Goldman Sachs Group Inc,3,General Electric Company,London Stock Exchange Group Plc,,1458
Jp Morgan Chase And Co,3,Dominion Energy Inc,Nrg Energy,,405
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Pimco Dynamic Credit Income Fun,Corporate,832
Jp Morgan Chase And Co,2,Moodys Corp /De/,Pearson Plc,,147
Jp Morgan Chase And Co,3,Comcast Corp A,Verizon Communications Inc,,767
Goldman Sachs Group Inc,3,Matador Resources Co,Goodrich Petroleum Corp,,12
Jp Morgan Chase And Co,3,Mgic Investment Corp,Suntrust Banks Inc,,405
Alphabet Inc,3,Cme Group Inc,Sandp Global Inc,,8406
Goldman Sachs Group Inc,2,Sandp Global Inc,Pearson Plc,,630
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Moodys Corp /De/,Corporate,2499
Jp Morgan Chase And Co,3,Dominion Energy Inc,Toshiba Corp,,550
Jp Morgan Chase And Co,2,Sandp Global Inc,Estee Lauder Companies Inc,,252
Goldman Sachs Group Inc,3,Microsoft Corp,Altaba Inc,,500
Goldman Sachs Group Inc,2,Bank Of New York Mellon Corp,Tsr Inc,,99
Alphabet Inc,3,Intel Corp,Ebay Inc,,1260
Coca-Cola Company,3,Acuity Brands Inc,Zep Inc,,12
Alphabet Inc,3,Avaya Inc,Imperva Inc,,2
Alphabet Inc,3,Polycom Inc,Hon Hai Precision Industry Co Ltd,,343
Alphabet Inc,3,Intercontinental Exchange,Blackbaud Inc,,174
Alphabet Inc,1,Alphabet Inc,Transalta Corp,Corporate,8120
Alphabet Inc,3,Aol Inc,Alliance Data Systems Corp,,6
Microsoft Corp,2,Emc Corp,Korn Ferry International,,4
Microsoft Corp,3,Cme Group Inc,Societe Generale,,144
Microsoft Corp,2,Hewlett Packard Enterprise Comp,Zipcar Inc,,12
Microsoft Corp,2,Vmware Inc,Apple Inc,,17784
Microsoft Corp,3,Comscore Inc,Iheartmedia Inc,,2
Alphabet Inc,2,Amazon Com Inc,Kelly Services Inc,,234
Microsoft Corp,3,Symantec Corp,United Continental Holdings,,696
Coca-Cola Company,1,Coca-Cola Company,Lamb Weston Holdings Inc,,60
Alphabet Inc,3,Dell Inc,Marathon Oil Corp,,165
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Didi Global Inc,Corporate,128
Goldman Sachs Group Inc,3,Mastercard Inc,Hess Corp,,63
Jp Morgan Chase And Co,3,Corcept Therapeutics Inc,Ironwood Pharmaceuticals Inc,,30
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Federal Home Loan Mortgage Corp,,15249
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Zimmer Biomet Holdings,,571.2
Alphabet Inc,3,Ares Capital Corp,General Electric Company,,5440
Alphabet Inc,3,Garrett Motion Inc,Lear Corp,,72
Alphabet Inc,3,Pfizer Inc,Springworks Therapeutics Inc,,54
Alphabet Inc,2,Atandt Inc,Lloyds Banking Group Plc,,1596
Alphabet Inc,2,Microsoft Corp,Salesforce Com Inc,,4464
Alphabet Inc,3,Ihs Markit Ltd,Blackrock Group Limited,,1456
Alphabet Inc,3,Apollo Global Management Llc,Lyondellbasell Industries Nv,,140
Alphabet Inc,2,Booking Holdings Inc,Ctrip Com International Ltd,,110
Jp Morgan Chase And Co,2,Agilent Technologies Inc,Hp Inc,,2618
Goldman Sachs Group Inc,3,Perrigo Company Public Limited Company,Sanofi Sa,,84
Goldman Sachs Group Inc,2,Peerstream Inc,Facebook Inc,,768
Goldman Sachs Group Inc,2,Venator Materials Plc,White Mountain Titanium Corp,,6
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Franklin Financial Network Inc,,306
Jp Morgan Chase And Co,3,Fidelity National Financial,Stewart Information Services Corp,,24
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Uber Technologies Inc,Corporate,1866.666667
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Intercontinental Exchange,,4800
Goldman Sachs Group Inc,3,Msci Inc,Imi Plc Ord,,20
Goldman Sachs Group Inc,2,Reata Pharmaceuticals Inc,Kalvista Pharmaceuticals Inc,,6
Jp Morgan Chase And Co,2,Agilent Technologies Inc,Dna Brands Inc,,21
Jp Morgan Chase And Co,2,Agilent Technologies Inc,Bruker Corp,,63
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Visa Inc,,8789
Goldman Sachs Group Inc,2,Valeant Pharmaceuticals International Inc,Glaxosmithkline Plc,,324
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Allstate Corp,,2944
Jp Morgan Chase And Co,3,Crown Castle International Corp,T-Mobile Us,,1260
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Maiden Holdings Ltd,Communication,8262
Jp Morgan Chase And Co,3,Msci Inc,Cme Group Inc,,40
Jp Morgan Chase And Co,2,Intercontinental Exchange,Coinbase Global Inc,Corporate,918
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Berkshire Hathaway Inc,Transaction,12288
Goldman Sachs Group Inc,2,Alnylam Pharmaceuticals Inc,Agios Pharmaceuticals Inc,,120
Goldman Sachs Group Inc,3,Noble Energy Inc,Plains All American Pipeline Lp,,936
Goldman Sachs Group Inc,2,Federal National Mortgage Association,Workiva Inc,,108
